PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
72,O,2,9,L,9,Pass,"Complete, TD",9,ACE BACK,SOLO,,,,,,,,2
73,D,1,10,M,-6,,,0,,,,,,,,,,2
74,O,1,10,M,-20,Run,Rush,2,ACE BACK,COUGAR HUG,,,,,,,,3
75,O,2,8,M,-22,Pass,Incomplete,0,ACE,ZORRO,,,,,,,,3
76,O,3,8,M,-22,Run,Scramble,8,LT TRIO BACK 4,SCISSORS,,,,,,,,3
77,O,1,10,R,-30,Pass,Complete,0,LT QUAD,NASCAR DIAMOND,,,,,,,,3
78,O,2,10,R,-31,Pass,Complete,11,LT DOS BACK 2,SHOCK SLICE,,,,,,,,3
79,O,1,10,L,-42,Pass,Complete,18,LT DOS 2,BAYLOR BIG Q,,,,,,,,3
80,O,1,10,L,40,Pass,Complete,3,DING 2,LONGHORN Q,,,,,,,,3
81,O,2,7,L,37,Pass,"Complete, TD",37,LT DOS,DEAL,,,,,,,,3
82,D,1,10,R,-28,Run,Rush,3,,,,,,,BASE,THUNDER,BLAST,3
83,D,2,7,R,-31,Run,Rush,7,,,,,,,BASE,LIGHTNING,,3
84,D,1,10,R,-38,Run,Rush,1,,,,,,,WIDE,BLUE,,3
85,D,2,9,R,-39,Pass,Incomplete,0,,,,,,,WIDE,BLUE,,3
86,D,3,9,M,-39,Pass,Complete,23,,,,,,,BASE,WHITE,SLAM,3
87,D,1,10,M,38,Run,Sack,-9,,,,,,,BASE,ROLL,,3
88,D,2,19,L,47,Pass,Incomplete,0,,,,,,,WIDE,,,3
89,D,3,19,L,47,,Penalty,-10,,,,,,,WIDE,BLUE,,3
90,D,3,29,L,-43,Pass,Incomplete,0,,,,,,,WIDE,ORANGE,,3
91,O,1,10,M,-20,Pass,Incomplete,0,TREY,ZIP READ,,,,,,,,3
92,O,2,10,R,-20,Pass,Complete,28,LT TRIO BACK,DUKE FRONT,,,,,,,,3
93,O,1,10,R,-48,,Penalty,-5,NASCAR ALL,NASCAR ALL NASA,,,,,,,,3
94,O,1,15,R,-43,Run,Rush,24,DOS BACK,HOUSTON GUY,,,,,,,,3
95,O,1,10,R,33,Run,Rush,6,TRIO BACK,HOUSTON GUY,,,,,,,,3
96,O,2,4,L,27,Run,Rush,1,LT DOS BACK,AKRON REAM,,,,,,,,3
97,O,3,3,L,26,Run,Rush,8,TROFF,DEVIL,,,,,,,,3
98,O,1,10,L,18,Pass,Penalty,-10,TRACE YAK,OKLAHOMA READ,,,,,,,,3
99,O,1,20,L,28,Pass,Incomplete,0,LT DOS BACK,HOLLYWOOD WHEEL,,,,,,,,3
100,O,2,20,M,28,Pass,Complete,10,TRIO BACK,Y BOSS FLARE,,,,,,,,3
101,O,3,10,M,18,Pass,Sack,-10,DOS BACK 1,CINCO,,,,,,,,3
102,O,4,20,R,28,Pass,Incomplete,0,LT TREY,POUT,,,,,,,,3
103,D,1,10,L,-28,Pass,Complete,9,,,,,,,WIDE,BLUE,,3
104,D,1,10,M,-38,Pass,Complete,4,,,,,,,40,ORANGE,,3
105,D,2,6,R,-42,Pass,Incomplete,0,,,,,,,WIDE,LIGHTNING,BLAST,3
106,D,3,6,L,-42,Run,Scramble,11,,,,,,,40,WHITE,,3
107,D,1,10,M,47,Run,Rush,2,,,,,,,BASE,BLUE,,3
108,D,2,8,R,45,Run,Sack,-18,,,,,,,BASE,BLACK,BULLETSX,3
109,D,3,26,R,-37,Pass,Incomplete,0,,,,,,,40,THUNDER,,3
110,O,1,10,R,-29,Run,Rush,3,ACE,OKLAHOMA,,,,,,,,4
111,O,2,7,R,-32,Run,Rush,8,ACE BACK,HOUSTON GUY,,,,,,,,4
112,O,1,10,L,-40,Pass,Incomplete,0,,,,,,,,,,4
113,O,2,10,L,-40,Run,Rush,3,TRACE 5,BAYLOR BIG Q,,,,,,,,4
114,O,3,7,L,-43,Pass,Incomplete,0,TRACE 3,CINCO,,,,,,,,4
115,D,1,10,L,-3,,Penalty,15,,,,,,,BASE,BLUE,BULLETS,3
116,D,1,10,R,-18,Pass,Incomplete,0,,,,,,,CAT,BLUE,,3
117,D,2,10,R,-18,Pass,Complete,2,,,,,,,BASE,ROLL,,3
118,D,3,8,R,-20,,Penalty,-10,,,,,,,BASE,WHITE,,3
119,O,1,10,R,-41,Run,Rush,1,LT TROFF BACK,ZIP FRONT REAM,,,,,,,,4
120,O,2,9,M,-42,Run,Rush,5,LT TROFF,DUKE,,,,,,,,4
121,O,3,4,M,-47,Pass,Complete,41,LT TROFF,BELT,,,,,,,,4
122,O,1,10,M,12,Run,Rush,1,LT TRACE YAK,COUGAR GUY,,,,,,,,4
123,O,2,9,R,11,Run,Rush,6,DING,ZIP READ,,,,,,,,4
124,O,3,3,R,5,Run,Rush,4,LT TROFF,DUKE,,,,,,,,4
125,O,1,1,R,1,Run,Rush,-2,LT JUMBO,BAYLOR,,,,,,,,4
126,O,2,3,M,3,Run,Rush,0,LT DING,AKRON REAM,,,,,,,,4
127,O,3,3,M,3,Run,"Rush, TD",3,LT DING,TEXAS Q BOSS,,,,,,,,4
128,D,1,10,L,-35,Pass,Complete,-2,,,,,,,BASE,BLUE,,4
129,D,2,12,L,-33,Run,Scramble,8,,,,,,,BASE,ROLL,,4
130,D,3,4,L,-41,Pass,Incomplete,0,,,,,,,BASE,BLUE,,4
131,D,4,4,L,-41,Run,Penalty,3,,,,,,,BASE,WHITE,,4
132,D,4,1,L,-44,Run,Rush,17,,,,,,,BASE,BLACK,BULLETS,4
133,D,1,10,L,39,,Penalty,-5,,,,,,,BASE,WHITE,,4
134,D,2,15,L,-44,Pass,Penalty,-18,,,,,,,BASE,ROLL,,4
135,D,3,35,L,-26,,Penalty,-18,,,,,,,BASE,BLUE,,4
136,D,3,45,L,-8,Run,Rush,-4,,,,,,,WIDE,BLUE,,4
137,D,1,10,R,-43,,Penalty,-6,,,,,,,BASE,,,1
138,D,1,15,R,-37,Run,Rush,3,,,,,,,BASE,CLOUD,,1
139,D,2,12,R,-40,Pass,Incomplete,0,,,,,,,BASE,CLOUD,,1
140,D,3,12,R,-40,Pass,Scramble,15,,,,,,,BASE,ORANGE,BUCKX,1
141,D,1,10,R,45,Run,Rush,9,,,,,,,BASE,ROLL,SLAM,1
142,D,2,1,R,36,Pass,Complete,6,,,,,,,BASE,ROLL,SLAM,1
143,D,1,10,R,30,Pass,Complete,5,,,,,,,40,STAY,,1
144,D,2,5,R,25,Run,Rush,4,,,,,,,BASE,STAY,BUCK,1
145,D,2,1,R,11,Run,Rush,2,,,,,,,BASE,BLACK,BULLETSX,1
146,D,1,9,R,9,Run,Rush,5,,,,,,,40,ORANGE,,1
147,D,2,4,R,4,Run,Rush,2,,,,,,,40,STAY,,1
148,D,3,2,L,1,Run,Rush,0,,,,,,,BEAR,WHITE,,1
149,D,4,2,L,1,Run,"Rush, TD",1,,,,,,,BEAR,WHITE,,1
150,O,1,10,M,-43,Run,Rush,2,LT TRIO,DUKE FRONT,,,,,,,,1
151,O,2,8,M,-45,Run,Rush,3,DOS BACK SQUEEZE,SOONER READ,,,,,,,,1
152,O,3,5,M,-48,Pass,Complete,6,DOS BACK,STOKE,,,,,,,,1
153,O,1,10,R,46,,Penalty,5,,,,,,,,,,1
154,O,1,5,R,41,Run,Rush,1,LT DOS,MARYLAND,,,,,,,,1
155,O,2,4,L,40,Run,Rush,0,LT DOS BACK,AKRON RALLY,,,,,,,,1
156,O,3,4,L,40,Pass,Complete,7,TRIO BACK,SQUIRREL,,,,,,,,1
157,O,1,10,L,33,Pass,Fumble,0,EMPTY,NASCAR BLAZE,,,,,,,,1
158,D,1,10,R,-28,Run,Rush,0,,,,,,,BASE,ROLL,SMOKE,1
159,D,2,10,R,-28,Pass,Complete,-1,,,,,,,BASE,STAY,,1
160,D,3,11,L,-27,Pass,Complete,15,,,,,,,BASE,WHITE,BUCK,1
161,D,1,10,R,-42,Run,Rush,11,,,,,,,40,,,1
162,D,1,10,L,47,,Penalty,-5,,,,,,,,,,1
163,D,1,15,L,-48,Run,Rush,3,,,,,,,,,,1
164,D,2,12,L,49,Pass,Incomplete,0,,,,,,,,,,1
165,D,3,12,M,49,Pass,Complete,17,,,,,,,,,,1
166,D,1,10,M,32,Run,Rush,9,,,,,,,,,,1
167,D,2,1,L,23,Run,Rush,-4,,,,,,,,,,1
168,D,3,5,L,27,Run,Rush,-5,,,,,,,,,,1
169,D,4,10,L,32,,Penalty,-5,,,,,,,,,,1
170,D,4,15,L,37,Pass,Incomplete,0,,,,,,,,,,1
171,O,1,10,L,-37,Run,Rush,5,LT TREY,TEXAS,,,,,,,,2
172,O,2,5,L,-42,Run,Rush,25,LT DOS,AKRON READ,,,,,,,,2
173,O,1,10,L,33,Run,Rush,0,DING,LONGHORN Q BOSS,,,,,,,,2
174,O,2,10,M,33,Run,Rush,2,ACE,AKRON,,,,,,,,2
